# 2theta, Intensity
1.831999999999982265e+01,1.123445024796503589e+01
1.833999999999982222e+01,8.351633156139426362e+00
1.835999999999982180e+01,6.296799695257178087e+00
1.837999999999982137e+01,4.856668977853722424e+00
1.839999999999982094e+01,3.842243475519712348e+00
1.841999999999982052e+01,3.113664795273199282e+00
1.843999999999982009e+01,2.576630264077508059e+00
1.845999999999981966e+01,2.170094957003938507e+00
1.847999999999981924e+01,1.854772657651276413e+00
1.849999999999981881e+01,1.604987435089480607e+00
1.851999999999981839e+01,1.403526238516141333e+00
1.853999999999981796e+01,1.238523153456326131e+00
1.855999999999981753e+01,1.101578764960432277e+00
1.857999999999981711e+01,9.866045658761400938e-01
1.859999999999981668e+01,8.890940177401795985e-01
1.861999999999981625e+01,8.056498102595055499e-01
1.863999999999981583e+01,7.336691235350085716e-01
1.865999999999981540e+01,6.711290364909915374e-01
1.867999999999981497e+01,6.164370639379238570e-01
1.869999999999981455e+01,5.683250522973697372e-01
1.871999999999981412e+01,5.257725566082119828e-01
1.873999999999981370e+01,4.879506479230147353e-01
1.875999999999981327e+01,4.541801242916088666e-01
1.877999999999981284e+01,4.239000359547613894e-01
1.879999999999981242e+01,3.966437020711001127e-01
1.881999999999981199e+01,3.720202399629475298e-01
1.883999999999981156e+01,3.497001993745477710e-01
1.885999999999981114e+01,3.294042874473905869e-01
1.887999999999981071e+01,3.108944445541380053e-01
1.889999999999981029e+01,2.939667252191897617e-01
1.891999999999980986e+01,2.784455773049962501e-01
1.893999999999980943e+01,2.641792132587290065e-01
1.895999999999980901e+01,2.510358408458744361e-01
1.897999999999980858e+01,2.389005752179234610e-01
1.899999999999980815e+01,2.276728947571712292e-01
1.901999999999980773e+01,2.172645336890570988e-01
1.903999999999980730e+01,2.075977276272431560e-01
1.905999999999980687e+01,1.986037459340976308e-01
1.907999999999980645e+01,1.902216584233229757e-01
1.909999999999980602e+01,1.823972945111444754e-01
1.911999999999980560e+01,1.750823611795859214e-01
1.913999999999980517e+01,1.682336925997230948e-01
1.915999999999980474e+01,1.618126093849767688e-01
1.917999999999980432e+01,1.557843695133148409e-01
1.919999999999980389e+01,1.501176962065206288e-01
1.921999999999980346e+01,1.447843706627228999e-01
1.923999999999980304e+01,1.397588796418813006e-01
1.925999999999980261e+01,1.350181096083567789e-01
1.927999999999980218e+01,1.305410805219205939e-01
1.929999999999980176e+01,1.263087135023908680e-01
1.931999999999980133e+01,1.223036275236107362e-01
1.933999999999980091e+01,1.185099610591283520e-01
1.935999999999980048e+01,1.149132152359493703e-01
1.937999999999980005e+01,1.115001155789472898e-01
1.939999999999979963e+01,1.082584898667757339e-01
1.941999999999979920e+01,1.051771599863633305e-01
1.943999999999979877e+01,1.022458459800978936e-01
1.945999999999979835e+01,9.945508073800235493e-02
1.947999999999979792e+01,9.679613400498444931e-02
1.949999999999979750e+01,9.426094455746504563e-02
1.951999999999979707e+01,9.184205955996221915e-02
1.953999999999979664e+01,8.953258024512876501e-02
1.955999999999979622e+01,8.732611317409613716e-02
1.957999999999979579e+01,8.521672643089030219e-02
1.959999999999979536e+01,8.319891018774680513e-02
1.961999999999979494e+01,8.126754114950482388e-02
1.963999999999979451e+01,7.941785044670530980e-02
1.965999999999979408e+01,7.764539460003946902e-02
1.967999999999979366e+01,7.594602922465304440e-02
1.969999999999979323e+01,7.431588518255465015e-02
1.971999999999979281e+01,7.275134692589296792e-02
1.973999999999979238e+01,7.124903280390047777e-02
1.975999999999979195e+01,6.980577713248777016e-02
1.977999999999979153e+01,6.841861384834364845e-02
1.979999999999979110e+01,6.708476158941155398e-02
1.981999999999979067e+01,6.580161006115914368e-02
1.983999999999979025e+01,6.456670756346380435e-02
1.985999999999978982e+01,6.337774956649168401e-02
1.987999999999978940e+01,6.223256823588623615e-02
1.989999999999978897e+01,6.112912281812227927e-02
1.991999999999978854e+01,6.006549080619340286e-02
1.993999999999978812e+01,5.903985981404473449e-02
1.995999999999978769e+01,5.805052009547238823e-02
1.997999999999978726e+01,5.709585764969854482e-02
1.999999999999978684e+01,5.617434786159949955e-02
2.001999999999978641e+01,5.528454962969958641e-02
2.003999999999978598e+01,5.442509993962133669e-02
2.005999999999978556e+01,5.359470884476923852e-02
2.007999999999978513e+01,5.279215481967561296e-02
2.009999999999978471e+01,5.201628045470736011e-02
2.011999999999978428e+01,5.126598846375872431e-02
2.013999999999978385e+01,5.054023797918418687e-02
2.015999999999978343e+01,4.983804111058372233e-02
2.017999999999978300e+01,4.915845974617486652e-02
2.019999999999978257e+01,4.850060257739606528e-02
2.021999999999978215e+01,4.786362232910558456e-02
2.023999999999978172e+01,4.724671317929433900e-02
2.025999999999978129e+01,4.664910835363181296e-02
2.027999999999978087e+01,4.607007788143296229e-02
2.029999999999978044e+01,4.550892650077996426e-02
2.031999999999978002e+01,4.496499170157233077e-02
2.033999999999977959e+01,4.443764189622098626e-02
2.035999999999977916e+01,4.392627470855683253e-02
2.037999999999977874e+01,4.343031537230125638e-02
2.039999999999977831e+01,4.294921523115177719e-02
2.041999999999977788e+01,4.248245033318000241e-02
2.043999999999977746e+01,4.202952011282280048e-02
2.045999999999977703e+01,4.158994615428367875e-02
2.047999999999977661e+01,4.116327103064582743e-02
2.049999999999977618e+01,4.074905721344550952e-02
2.051999999999977575e+01,4.034688604785934690e-02
2.053999999999977533e+01,3.995635678903169952e-02
2.055999999999977490e+01,3.957708569540863142e-02
2.057999999999977447e+01,3.920870517525641002e-02
2.059999999999977405e+01,3.885086298282940109e-02
2.061999999999977362e+01,3.850322146091338105e-02
2.063999999999977319e+01,3.816545682671184520e-02
2.065999999999977277e+01,3.783725849826449772e-02
2.067999999999977234e+01,3.751832845878993322e-02
2.069999999999977192e+01,3.720838065653234855e-02
2.071999999999977149e+01,3.690714043786450654e-02
2.073999999999977106e+01,3.661434401155763685e-02
2.075999999999977064e+01,3.632973794227643827e-02
2.077999999999977021e+01,3.605307867149137868e-02
2.079999999999976978e+01,3.578413206412624226e-02
2.081999999999976936e+01,3.552267297937346940e-02
2.083999999999976893e+01,3.526848486421738094e-02
2.085999999999976851e+01,3.502135936830250845e-02
2.087999999999976808e+01,3.478109597887707460e-02
2.089999999999976765e+01,3.454750167462510013e-02
2.091999999999976723e+01,3.432039059727930164e-02
2.093999999999976680e+01,3.409958373997977465e-02
2.095999999999976637e+01,3.388490865141004921e-02
2.097999999999976595e+01,3.367619915480591503e-02
2.099999999999976552e+01,3.347329508098877138e-02
2.101999999999976509e+01,3.327604201463108674e-02
2.103999999999976467e+01,3.308429105301003564e-02
2.105999999999976424e+01,3.289789857655320282e-02
2.107999999999976382e+01,3.271672603052310641e-02
2.109999999999976339e+01,3.254063971722801624e-02
2.111999999999976296e+01,3.236951059818393706e-02
2.113999999999976254e+01,3.220321410568796616e-02
2.115999999999976211e+01,3.204162996329612545e-02
2.117999999999976168e+01,3.188464201472882703e-02
2.119999999999976126e+01,3.173213806075604604e-02
2.121999999999976083e+01,3.158400970364123872e-02
2.123999999999976040e+01,3.144015219874683742e-02
2.125999999999975998e+01,3.130046431292885650e-02
2.127999999999975955e+01,3.116484818936847770e-02
2.129999999999975913e+01,3.103320921851032005e-02
2.131999999999975870e+01,3.090545591479468279e-02
2.133999999999975827e+01,3.078149979889004476e-02
2.135999999999975785e+01,3.066125528514819856e-02
2.137999999999975742e+01,3.054463957402037827e-02
2.139999999999975699e+01,3.043157254918719620e-02
2.141999999999975657e+01,3.032197667916918665e-02
2.143999999999975614e+01,3.021577692319769512e-02
2.145999999999975572e+01,3.011290064113761322e-02
2.147999999999975529e+01,3.001327750726560592e-02
2.149999999999975486e+01,2.991683942771741420e-02
2.151999999999975444e+01,2.982352046142832530e-02
2.153999999999975401e+01,2.973325674440043323e-02
2.155999999999975358e+01,2.964598641713873939e-02
2.157999999999975316e+01,2.956164955510726111e-02
2.159999999999975273e+01,2.948018810206343848e-02
